name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Eclipse Ibeji,,https://projects.eclipse.org/projects/automotive.ibeji,logos/2e9611f9be59b79424d3334d84e7e8f56f0936ce00f535d5976c21a8646d0fe6.png,,,,,Incubating,,,,The automotive and mobility ecosystem is facing major challenges in modernizing and streamlining in-vehicle software development as well as in software life cycle management. The Eclipse Ibeji project...,,,,,,,,,,,,Category 1,Misc,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse Kuksa,,https://projects.eclipse.org/projects/automotive.kuksa,logos/f10feb1e4b831406f889e37c94873512c3bf4b8548630fe013b54a9aede77155.png,,,,,Incubating,,,,"The open Eclipse KUKSA™ project aims to provide shared building blocks for the Software Defined Vehicles that can be shared across the industry.
A modern car contains more than 200 millions lines of...",,,,,,,,,,,,Category 1,Misc,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse Leda,,https://projects.eclipse.org/projects/automotive.leda,logos/2f0b05965555c6df26b2a9a06279e0294f016c670f75abb37fa80eb7adfc9c6d.png,,,,,Incubating,,,,"In the ambition to build a technology ecosystem for software-defined vehicle, one of the main challengs will be the combination of the diverse components into a coherent and useful whole: all the...",,,,,,,,,,,,Category 1,Misc,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse Leda Incubator,,https://projects.eclipse.org/projects/automotive.leda.ledaincubator,logos/14738f70197e197d29160180e7340a4d992966689c34c71d272d812d336b7024.png,,,,,Incubating,,,,Eclipse Leda Incubator provides a place for experimental components from the software-defined vehicle ecosystem.,,,,,,,,,,,,Category 1,Misc,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse MoEc,,https://projects.eclipse.org/projects/automotive.moec,logos/659e2f70be525eba2aab44801cf938957fba27e876a66937af6956f883dcbd24.png,,,,,Archived,,,,"Eclipse MoEc provides an open software development kit (SDK) for infrastructure-based planning, motion, parking and charging solutions within the Software Defined Vehicle (SDV) ecosystem.
The MoEc SDK...",,,,,,,,,,,,Category 1,Misc,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse Muto,,https://projects.eclipse.org/projects/automotive.muto,logos/c52d3ca98bc70e52625611c9c3f27e7e3350eba9705265e1bc91338d8db8b089.png,,,,,Incubating,,,,"Eclipse Muto provides an adaptive framework and a runtime platform for dynamically composable model-driven ROS software stacks. Eclipse Muto can be used  to introspect, monitor and manipulate the...",,,,,,,,,,,,Category 1,Misc,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse OpenBSW,,https://projects.eclipse.org/projects/automotive.openbsw,logos/14738f70197e197d29160180e7340a4d992966689c34c71d272d812d336b7024.png,,,,,Incubating,,,,The project provides an embedded basic software (BSW) stack for microcontrollers written in C++ (language features up to C++14 are used). It provides libraries forlifecycle (startup/shutdown...,,,,,,,,,,,,Category 1,Misc,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse openDuT,,https://projects.eclipse.org/projects/automotive.opendut,logos/6314d57c0f62aa39f9b215531e621abbb60a6c8e59c32cf508765b633abf22db.png,,,,,Incubating,,,,Eclipse openDuT automates the testing and validation process for automotive software and applications. This includes offering a framework for the testing and validation process but also includes...,,,,,,,,,,,,Category 1,Misc,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse OpenXilEnv,,https://projects.eclipse.org/projects/automotive.openxilenv,logos/14738f70197e197d29160180e7340a4d992966689c34c71d272d812d336b7024.png,,,,,Incubating,,,,"Eclipse OpenXilEnv is a lightweight SIL/HIL environment that allows running embedded software functions on a PC without a target platform and compiler.
Eclipse OpenXilEnv will provide a configurable...",,,,,,,,,,,,Category 1,Misc,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse p3com,,https://projects.eclipse.org/projects/automotive.p3com,logos/14738f70197e197d29160180e7340a4d992966689c34c71d272d812d336b7024.png,,,,,Incubating,,,,"Eclipse p3com enables arbitrary communication interfaces through a convenient and modern high level API while exploiting full HW capabilities.
Eclipse ""p3com"" stands for:

Pluggable
Portable
Publish...",,,,,,,,,,,,Category 1,Misc,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse Pullpiri,,https://projects.eclipse.org/projects/automotive.pullpiri,logos/14738f70197e197d29160180e7340a4d992966689c34c71d272d812d336b7024.png,,,,,Incubating,,,,The main goal of Eclipse Pullpiri project is to develop an efficient vehicle service orchestrator framework to realize the potential benefits of cloud native technologies for in-vehicle services and...,,,,,,,,,,,,Category 1,Misc,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse Safe Open Vehicle Core,,https://projects.eclipse.org/projects/automotive.score,logos/14738f70197e197d29160180e7340a4d992966689c34c71d272d812d336b7024.png,,,,,Incubating,,,,"The Eclipse Safe Open Vehicle Core project aims to develop an open-source core stack for Software Defined Vehicles (SDVs), specifically targeting embedded high-performance Electronic Control Units...",,,,,,,,,,,,Category 1,Misc,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse SDV Blueprints,,https://projects.eclipse.org/projects/automotive.sdv-blueprints,logos/2eab00974da0c48d89f11b6f475b5275c09d5dba27bc5c0f8cc5365ffc5566f3.png,,,,,Incubating,,,,The Eclipse SDV Blueprints project hosts different blueprints of how to apply technologies developed in the scope of the projects of the Eclipse SDV working group (sdv.eclipse.org). This makes it...,,,,,,,,,,,,Category 1,Misc,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse SDV Developer Console,,https://projects.eclipse.org/projects/automotive.dco,logos/14738f70197e197d29160180e7340a4d992966689c34c71d272d812d336b7024.png,,,,,Incubating,,,,Eclipse SDV Developer Console (DCO) integrates necessary sources for software lifecycle management and there by optimizes the complete process from development to release of software. The core of DCO...,,,,,,,,,,,,Category 1,Misc,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse SommR,,https://projects.eclipse.org/projects/automotive.sommr,logos/659e2f70be525eba2aab44801cf938957fba27e876a66937af6956f883dcbd24.png,,,,,Archived,,,,"Eclipse SommR provides an automotive grade implementation of the SomeIP specification for embedded Linux systems together with the required tools to support developers.
Eclipse SommR fosters...",,,,,,,,,,,,Category 1,Misc,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse Symphony,,https://projects.eclipse.org/projects/iot.symphony,logos/22517b879b489a8c3375dc0e5b370884f49aec278886830e2463f96d1845b198.png,,,,,Incubating,,,,"Eclipse Symphony enables end-to-end orchestration experience and addresses it as a distinct concern. Its objective is to provide an easy-to-adopt, cost-effective, and consistent application...",,,,,,,,,,,,Category 1,Misc,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse ThreadX,,https://projects.eclipse.org/projects/iot.threadx,logos/7e5c4002fb4e6c935714a543937a60b2657eb23871e42e4d4b8b1330ddc231c8.png,,,,,Incubating,,,,"Eclipse ThreadX® provides a vendor-neutral, open source, safety certified OS for real-time applications published under a permissive license.
The Eclipse ThreadX suite encompasses:

ThreadX - advanced...",,,,,,,,,,,,Category 1,Misc,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse uProtocol,,https://projects.eclipse.org/projects/automotive.uprotocol,logos/77778a8efcd1a01d11c572343a6626683d5486bb828b0b26ec89b2bcaffc4d1b.png,,,,,Incubating,,,,"Eclipse uProtocol provides a transport agnostic, layered communication protocol that is deployment, OS, and device (vehicle, cloud, mobile phone, charging station, etc...) agnostic, leveraging well...",,,,,,,,,,,,Category 1,Misc,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse Velocitas,,https://projects.eclipse.org/projects/automotive.velocitas,logos/85a8d943ee97e0bc36c7894ec6b0923225aeb9fec313003532e4ecc3e30b5ffa.png,,,,,Incubating,,,,"Eclipse Velocitas™ provides an end-to-end, scalable, modular and open source development toolchain for creating containerized and non-containerized in-vehicle applications.
Currently, the automotive...",,,,,,,,,,,,Category 1,Misc,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse Zenoh,,https://projects.eclipse.org/projects/iot.zenoh,logos/1c9e9c7e835e6a4c8787e68de573f21c991d7eb57fb4626890c1691eaba89e49.png,,,,,Incubating,,,,"Eclipse Zenoh provides is a stack  designed to (1) minimize network overhead, (2) support extremely constrained devices, (3) supports devices with low duty-cycle by allowing the negotiation of data...",,,,,,,,,,,,Category 1,Misc,,,,,,,,,,,,,,,,,,,,,,,,
